1	6	4	7	8	3	9	2	5	
2	7	5	8	9	4	10	3	6	
3	8	6	9	10	5	1	4	7	
4	9	7	10	1	6	2	5	8	
5	10	8	1	2	7	3	6	9	
6	1	9	2	3	8	4	7	10	
7	2	10	3	4	9	5	8	1	
8	3	1	4	5	10	6	9	2	
9	4	2	5	6	1	7	10	3	
10	5	3	6	7	2	8	1	4	
1	7	6	10	2	8	5	9	3	
2	8	7	1	3	9	6	10	4	
3	9	8	2	4	10	7	1	5	
4	10	9	3	5	1	8	2	6	
5	1	10	4	6	2	9	3	7	
6	2	1	5	7	3	10	4	8	
7	3	2	6	8	4	1	5	9	
8	4	3	7	9	5	2	6	10	
9	5	4	8	10	6	3	7	1	
10	6	5	9	1	7	4	8	2	
1	8	5	3	6	10	2	7	9	
2	9	6	4	7	1	3	8	10	
3	10	7	5	8	2	4	9	1	
4	1	8	6	9	3	5	10	2	
5	2	9	7	10	4	6	1	3	
6	3	10	8	1	5	7	2	4	
7	4	1	9	2	6	8	3	5	
8	5	2	10	3	7	9	4	6	
9	6	3	1	4	8	10	5	7	
10	7	4	2	5	9	1	6	8	
1	9	10	5	3	4	8	6	2	
2	10	1	6	4	5	9	7	3	
3	1	2	7	5	6	10	8	4	
4	2	3	8	6	7	1	9	5	
5	3	4	9	7	8	2	10	6	
6	4	5	10	8	9	3	1	7	
7	5	6	1	9	10	4	2	8	
8	6	7	2	10	1	5	3	9	
9	7	8	3	1	2	6	4	10	
10	8	9	4	2	3	7	5	1	
