1	2	3	4	5	6	7	8	9	10	11
2	3	4	5	6	7	8	9	10	11	1
3	4	5	6	7	8	9	10	11	1	2
4	5	6	7	8	9	10	11	1	2	3
5	6	7	8	9	10	11	1	2	3	4
6	7	8	9	10	11	1	2	3	4	5
7	8	9	10	11	1	2	3	4	5	6
8	9	10	11	1	2	3	4	5	6	7
9	10	11	1	2	3	4	5	6	7	8
10	11	1	2	3	4	5	6	7	8	9
11	1	2	3	4	5	6	7	8	9	10
1	3	5	7	9	11	2	4	6	8	10
2	4	6	8	10	1	3	5	7	9	11
3	5	7	9	11	2	4	6	8	10	1
4	6	8	10	1	3	5	7	9	11	2
5	7	9	11	2	4	6	8	10	1	3
6	8	10	1	3	5	7	9	11	2	4
7	9	11	2	4	6	8	10	1	3	5
8	10	1	3	5	7	9	11	2	4	6
9	11	2	4	6	8	10	1	3	5	7
10	1	3	5	7	9	11	2	4	6	8
11	2	4	6	8	10	1	3	5	7	9
1	4	7	10	2	5	8	11	3	6	9
2	5	8	11	3	6	9	1	4	7	10
3	6	9	1	4	7	10	2	5	8	11
4	7	10	2	5	8	11	3	6	9	1
5	8	11	3	6	9	1	4	7	10	2
6	9	1	4	7	10	2	5	8	11	3
7	10	2	5	8	11	3	6	9	1	4
8	11	3	6	9	1	4	7	10	2	5
9	1	4	7	10	2	5	8	11	3	6
10	2	5	8	11	3	6	9	1	4	7
11	3	6	9	1	4	7	10	2	5	8
1	5	9	2	6	10	3	7	11	4	8
2	6	10	3	7	11	4	8	1	5	9
3	7	11	4	8	1	5	9	2	6	10
4	8	1	5	9	2	6	10	3	7	11
5	9	2	6	10	3	7	11	4	8	1
6	10	3	7	11	4	8	1	5	9	2
7	11	4	8	1	5	9	2	6	10	3
8	1	5	9	2	6	10	3	7	11	4
9	2	6	10	3	7	11	4	8	1	5
10	3	7	11	4	8	1	5	9	2	6
11	4	8	1	5	9	2	6	10	3	7
