1	2	3	4	5	6	7	8	9	10	11	12	13
2	3	4	5	6	7	8	9	10	11	12	13	1
3	4	5	6	7	8	9	10	11	12	13	1	2
4	5	6	7	8	9	10	11	12	13	1	2	3
5	6	7	8	9	10	11	12	13	1	2	3	4
6	7	8	9	10	11	12	13	1	2	3	4	5
7	8	9	10	11	12	13	1	2	3	4	5	6
8	9	10	11	12	13	1	2	3	4	5	6	7
9	10	11	12	13	1	2	3	4	5	6	7	8
10	11	12	13	1	2	3	4	5	6	7	8	9
11	12	13	1	2	3	4	5	6	7	8	9	10
12	13	1	2	3	4	5	6	7	8	9	10	11
13	1	2	3	4	5	6	7	8	9	10	11	12
1	3	5	7	9	11	13	2	4	6	8	10	12
2	4	6	8	10	12	1	3	5	7	9	11	13
3	5	7	9	11	13	2	4	6	8	10	12	1
4	6	8	10	12	1	3	5	7	9	11	13	2
5	7	9	11	13	2	4	6	8	10	12	1	3
6	8	10	12	1	3	5	7	9	11	13	2	4
7	9	11	13	2	4	6	8	10	12	1	3	5
8	10	12	1	3	5	7	9	11	13	2	4	6
9	11	13	2	4	6	8	10	12	1	3	5	7
10	12	1	3	5	7	9	11	13	2	4	6	8
11	13	2	4	6	8	10	12	1	3	5	7	9
12	1	3	5	7	9	11	13	2	4	6	8	10
13	2	4	6	8	10	12	1	3	5	7	9	11
1	4	7	10	13	3	6	9	12	2	5	8	11
2	5	8	11	1	4	7	10	13	3	6	9	12
3	6	9	12	2	5	8	11	1	4	7	10	13
4	7	10	13	3	6	9	12	2	5	8	11	1
5	8	11	1	4	7	10	13	3	6	9	12	2
6	9	12	2	5	8	11	1	4	7	10	13	3
7	10	13	3	6	9	12	2	5	8	11	1	4
8	11	1	4	7	10	13	3	6	9	12	2	5
9	12	2	5	8	11	1	4	7	10	13	3	6
10	13	3	6	9	12	2	5	8	11	1	4	7
11	1	4	7	10	13	3	6	9	12	2	5	8
12	2	5	8	11	1	4	7	10	13	3	6	9
13	3	6	9	12	2	5	8	11	1	4	7	10
1	5	9	13	4	8	12	3	7	11	2	6	10
2	6	10	1	5	9	13	4	8	12	3	7	11
3	7	11	2	6	10	1	5	9	13	4	8	12
4	8	12	3	7	11	2	6	10	1	5	9	13
5	9	13	4	8	12	3	7	11	2	6	10	1
6	10	1	5	9	13	4	8	12	3	7	11	2
7	11	2	6	10	1	5	9	13	4	8	12	3
8	12	3	7	11	2	6	10	1	5	9	13	4
9	13	4	8	12	3	7	11	2	6	10	1	5
10	1	5	9	13	4	8	12	3	7	11	2	6
11	2	6	10	1	5	9	13	4	8	12	3	7
12	3	7	11	2	6	10	1	5	9	13	4	8
13	4	8	12	3	7	11	2	6	10	1	5	9
