1	2	8	5	12	6	13	11	14	10	3	9	4	
2	3	9	6	13	7	14	12	1	11	4	10	5	
3	4	10	7	14	8	1	13	2	12	5	11	6	
4	5	11	8	1	9	2	14	3	13	6	12	7	
5	6	12	9	2	10	3	1	4	14	7	13	8	
6	7	13	10	3	11	4	2	5	1	8	14	9	
7	8	14	11	4	12	5	3	6	2	9	1	10	
8	9	1	12	5	13	6	4	7	3	10	2	11	
9	10	2	13	6	14	7	5	8	4	11	3	12	
10	11	3	14	7	1	8	6	9	5	12	4	13	
11	12	4	1	8	2	9	7	10	6	13	5	14	
12	13	5	2	9	3	10	8	11	7	14	6	1	
13	14	6	3	10	4	11	9	12	8	1	7	2	
14	1	7	4	11	5	12	10	13	9	2	8	3	
1	3	10	8	2	11	5	4	9	6	14	7	12	
2	4	11	9	3	12	6	5	10	7	1	8	13	
3	5	12	10	4	13	7	6	11	8	2	9	14	
4	6	13	11	5	14	8	7	12	9	3	10	1	
5	7	14	12	6	1	9	8	13	10	4	11	2	
6	8	1	13	7	2	10	9	14	11	5	12	3	
7	9	2	14	8	3	11	10	1	12	6	13	4	
8	10	3	1	9	4	12	11	2	13	7	14	5	
9	11	4	2	10	5	13	12	3	14	8	1	6	
10	12	5	3	11	6	14	13	4	1	9	2	7	
11	13	6	4	12	7	1	14	5	2	10	3	8	
12	14	7	5	13	8	2	1	6	3	11	4	9	
13	1	8	6	14	9	3	2	7	4	12	5	10	
14	2	9	7	1	10	4	3	8	5	13	6	11	
1	4	9	10	5	2	11	8	6	14	12	3	7	
2	5	10	11	6	3	12	9	7	1	13	4	8	
3	6	11	12	7	4	13	10	8	2	14	5	9	
4	7	12	13	8	5	14	11	9	3	1	6	10	
5	8	13	14	9	6	1	12	10	4	2	7	11	
6	9	14	1	10	7	2	13	11	5	3	8	12	
7	10	1	2	11	8	3	14	12	6	4	9	13	
8	11	2	3	12	9	4	1	13	7	5	10	14	
9	12	3	4	13	10	5	2	14	8	6	11	1	
10	13	4	5	14	11	6	3	1	9	7	12	2	
11	14	5	6	1	12	7	4	2	10	8	13	3	
12	1	6	7	2	13	8	5	3	11	9	14	4	
13	2	7	8	3	14	9	6	4	12	10	1	5	
14	3	8	9	4	1	10	7	5	13	11	2	6	
1	5	6	14	11	12	9	2	8	3	7	10	6	
2	6	7	1	12	13	10	3	9	4	8	11	7	
3	7	8	2	13	14	11	4	10	5	9	12	8	
4	8	9	3	14	1	12	5	11	6	10	13	9	
5	9	10	4	1	2	13	6	12	7	11	14	10	
6	10	11	5	2	3	14	7	13	8	12	1	11	
7	11	12	6	3	4	1	8	14	9	13	2	12	
8	12	13	7	4	5	2	9	1	10	14	3	13	
9	13	14	8	5	6	3	10	2	11	1	4	14	
10	14	1	9	6	7	4	11	3	12	2	5	1	
11	1	2	10	7	8	5	12	4	13	3	6	2	
12	2	3	11	8	9	6	13	5	14	4	7	3	
13	3	4	12	9	10	7	14	6	1	5	8	4	
14	4	5	13	10	11	8	1	7	2	6	9	5	
