1	2	4	7	13	9	5	6	11	14	15	3	2	10	16	
2	3	5	8	14	10	6	7	12	15	16	4	3	11	1	
3	4	6	9	15	11	7	8	13	16	1	5	4	12	2	
4	5	7	10	16	12	8	9	14	1	2	6	5	13	3	
5	6	8	11	1	13	9	10	15	2	3	7	6	14	4	
6	7	9	12	2	14	10	11	16	3	4	8	7	15	5	
7	8	10	13	3	15	11	12	1	4	5	9	8	16	6	
8	9	11	14	4	16	12	13	2	5	6	10	9	1	7	
9	10	12	15	5	1	13	14	3	6	7	11	10	2	8	
10	11	13	16	6	2	14	15	4	7	8	12	11	3	9	
11	12	14	1	7	3	15	16	5	8	9	13	12	4	10	
12	13	15	2	8	4	16	1	6	9	10	14	13	5	11	
13	14	16	3	9	5	1	2	7	10	11	15	14	6	12	
14	15	1	4	10	6	2	3	8	11	12	16	15	7	13	
15	16	2	5	11	7	3	4	9	12	13	1	16	8	14	
16	1	3	6	12	8	4	5	10	13	14	2	1	9	15	
1	3	7	11	2	15	13	16	6	10	12	5	9	3	14	
2	4	8	12	3	16	14	1	7	11	13	6	10	4	15	
3	5	9	13	4	1	15	2	8	12	14	7	11	5	16	
4	6	10	14	5	2	16	3	9	13	15	8	12	6	1	
5	7	11	15	6	3	1	4	10	14	16	9	13	7	2	
6	8	12	16	7	4	2	5	11	15	1	10	14	8	3	
7	9	13	1	8	5	3	6	12	16	2	11	15	9	4	
8	10	14	2	9	6	4	7	13	1	3	12	16	10	5	
9	11	15	3	10	7	5	8	14	2	4	13	1	11	6	
10	12	16	4	11	8	6	9	15	3	5	14	2	12	7	
11	13	1	5	12	9	7	10	16	4	6	15	3	13	8	
12	14	2	6	13	10	8	11	1	5	7	16	4	14	9	
13	15	3	7	14	11	9	12	2	6	8	1	5	15	10	
14	16	4	8	15	12	10	13	3	7	9	2	6	16	11	
15	1	5	9	16	13	11	14	4	8	10	3	7	1	12	
16	2	6	10	1	14	12	15	5	9	11	4	8	2	13	
1	4	9	14	6	5	2	12	15	8	7	4	16	13	11	
2	5	10	15	7	6	3	13	16	9	8	5	1	14	12	
3	6	11	16	8	7	4	14	1	10	9	6	2	15	13	
4	7	12	1	9	8	5	15	2	11	10	7	3	16	14	
5	8	13	2	10	9	6	16	3	12	11	8	4	1	15	
6	9	14	3	11	10	7	1	4	13	12	9	5	2	16	
7	10	15	4	12	11	8	2	5	14	13	10	6	3	1	
8	11	16	5	13	12	9	3	6	15	14	11	7	4	2	
9	12	1	6	14	13	10	4	7	16	15	12	8	5	3	
10	13	2	7	15	14	11	5	8	1	16	13	9	6	4	
11	14	3	8	16	15	12	6	9	2	1	14	10	7	5	
12	15	4	9	1	16	13	7	10	3	2	15	11	8	6	
13	16	5	10	2	1	14	8	11	4	3	16	12	9	7	
14	1	6	11	3	2	15	9	12	5	4	1	13	10	8	
15	2	7	12	4	3	16	10	13	6	5	2	14	11	9	
16	3	8	13	5	4	1	11	14	7	6	3	15	12	10	
1	5	8	6	11	2	12	7	3	4	10	13	14	15	2	
2	6	9	7	12	3	13	8	4	5	11	14	15	16	3	
3	7	10	8	13	4	14	9	5	6	12	15	16	1	4	
4	8	11	9	14	5	15	10	6	7	13	16	1	2	5	
5	9	12	10	15	6	16	11	7	8	14	1	2	3	6	
6	10	13	11	16	7	1	12	8	9	15	2	3	4	7	
7	11	14	12	1	8	2	13	9	10	16	3	4	5	8	
8	12	15	13	2	9	3	14	10	11	1	4	5	6	9	
9	13	16	14	3	10	4	15	11	12	2	5	6	7	10	
10	14	1	15	4	11	5	16	12	13	3	6	7	8	11	
11	15	2	16	5	12	6	1	13	14	4	7	8	9	12	
12	16	3	1	6	13	7	2	14	15	5	8	9	10	13	
13	1	4	2	7	14	8	3	15	16	6	9	10	11	14	
14	2	5	3	8	15	9	4	16	1	7	10	11	12	15	
15	3	6	4	9	16	10	5	1	2	8	11	12	13	16	
16	4	7	5	10	1	11	6	2	3	9	12	13	14	1	
