1	2	9	11	6	8	10	15	16	7	12	13	18	3	14	1	4	
2	3	10	12	7	9	11	16	17	8	13	14	1	4	15	2	5	
3	4	11	13	8	10	12	17	18	9	14	15	2	5	16	3	6	
4	5	12	14	9	11	13	18	1	10	15	16	3	6	17	4	7	
5	6	13	15	10	12	14	1	2	11	16	17	4	7	18	5	8	
6	7	14	16	11	13	15	2	3	12	17	18	5	8	1	6	9	
7	8	15	17	12	14	16	3	4	13	18	1	6	9	2	7	10	
8	9	16	18	13	15	17	4	5	14	1	2	7	10	3	8	11	
9	10	17	1	14	16	18	5	6	15	2	3	8	11	4	9	12	
10	11	18	2	15	17	1	6	7	16	3	4	9	12	5	10	13	
11	12	1	3	16	18	2	7	8	17	4	5	10	13	6	11	14	
12	13	2	4	17	1	3	8	9	18	5	6	11	14	7	12	15	
13	14	3	5	18	2	4	9	10	1	6	7	12	15	8	13	16	
14	15	4	6	1	3	5	10	11	2	7	8	13	16	9	14	17	
15	16	5	7	2	4	6	11	12	3	8	9	14	17	10	15	18	
16	17	6	8	3	5	7	12	13	4	9	10	15	18	11	16	1	
17	18	7	9	4	6	8	13	14	5	10	11	16	1	12	17	2	
18	1	8	10	5	7	9	14	15	6	11	12	17	2	13	18	3	
1	3	12	15	11	14	17	6	8	18	7	10	16	5	4	13	18	
2	4	13	16	12	15	18	7	9	1	8	11	17	6	5	14	1	
3	5	14	17	13	16	1	8	10	2	9	12	18	7	6	15	2	
4	6	15	18	14	17	2	9	11	3	10	13	1	8	7	16	3	
5	7	16	1	15	18	3	10	12	4	11	14	2	9	8	17	4	
6	8	17	2	16	1	4	11	13	5	12	15	3	10	9	18	5	
7	9	18	3	17	2	5	12	14	6	13	16	4	11	10	1	6	
8	10	1	4	18	3	6	13	15	7	14	17	5	12	11	2	7	
9	11	2	5	1	4	7	14	16	8	15	18	6	13	12	3	8	
10	12	3	6	2	5	8	15	17	9	16	1	7	14	13	4	9	
11	13	4	7	3	6	9	16	18	10	17	2	8	15	14	5	10	
12	14	5	8	4	7	10	17	1	11	18	3	9	16	15	6	11	
13	15	6	9	5	8	11	18	2	12	1	4	10	17	16	7	12	
14	16	7	10	6	9	12	1	3	13	2	5	11	18	17	8	13	
15	17	8	11	7	10	13	2	4	14	3	6	12	1	18	9	14	
16	18	9	12	8	11	14	3	5	15	4	7	13	2	1	10	15	
17	1	10	13	9	12	15	4	6	16	5	8	14	3	2	11	16	
18	2	11	14	10	13	16	5	7	17	6	9	15	4	3	12	17	
1	4	14	18	9	2	6	10	13	11	3	5	8	4	12	7	15	
2	5	15	1	10	3	7	11	14	12	4	6	9	5	13	8	16	
3	6	16	2	11	4	8	12	15	13	5	7	10	6	14	9	17	
4	7	17	3	12	5	9	13	16	14	6	8	11	7	15	10	18	
5	8	18	4	13	6	10	14	17	15	7	9	12	8	16	11	1	
6	9	1	5	14	7	11	15	18	16	8	10	13	9	17	12	2	
7	10	2	6	15	8	12	16	1	17	9	11	14	10	18	13	3	
8	11	3	7	16	9	13	17	2	18	10	12	15	11	1	14	4	
9	12	4	8	17	10	14	18	3	1	11	13	16	12	2	15	5	
10	13	5	9	18	11	15	1	4	2	12	14	17	13	3	16	6	
11	14	6	10	1	12	16	2	5	3	13	15	18	14	4	17	7	
12	15	7	11	2	13	17	3	6	4	14	16	1	15	5	18	8	
13	16	8	12	3	14	18	4	7	5	15	17	2	16	6	1	9	
14	17	9	13	4	15	1	5	8	6	16	18	3	17	7	2	10	
15	18	10	14	5	16	2	6	9	7	17	1	4	18	8	3	11	
16	1	11	15	6	17	3	7	10	8	18	2	5	1	9	4	12	
17	2	12	16	7	18	4	8	11	9	1	3	6	2	10	5	13	
18	3	13	17	8	1	5	9	12	10	2	4	7	3	11	6	14	
1	5	2	12	18	10	9	7	6	13	16	4	15	8	10	17	11	
2	6	3	13	1	11	10	8	7	14	17	5	16	9	11	18	12	
3	7	4	14	2	12	11	9	8	15	18	6	17	10	12	1	13	
4	8	5	15	3	13	12	10	9	16	1	7	18	11	13	2	14	
5	9	6	16	4	14	13	11	10	17	2	8	1	12	14	3	15	
6	10	7	17	5	15	14	12	11	18	3	9	2	13	15	4	16	
7	11	8	18	6	16	15	13	12	1	4	10	3	14	16	5	17	
8	12	9	1	7	17	16	14	13	2	5	11	4	15	17	6	18	
9	13	10	2	8	18	17	15	14	3	6	12	5	16	18	7	1	
10	14	11	3	9	1	18	16	15	4	7	13	6	17	1	8	2	
11	15	12	4	10	2	1	17	16	5	8	14	7	18	2	9	3	
12	16	13	5	11	3	2	18	17	6	9	15	8	1	3	10	4	
13	17	14	6	12	4	3	1	18	7	10	16	9	2	4	11	5	
14	18	15	7	13	5	4	2	1	8	11	17	10	3	5	12	6	
15	1	16	8	14	6	5	3	2	9	12	18	11	4	6	13	7	
16	2	17	9	15	7	6	4	3	10	13	1	12	5	7	14	8	
17	3	18	10	16	8	7	5	4	11	14	2	13	6	8	15	9	
18	4	1	11	17	9	8	6	5	12	15	3	14	7	9	16	10	
