1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	1	
3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	1	2	
4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	1	2	3	
5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	1	2	3	4	
6	7	8	9	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	
7	8	9	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	
8	9	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	
9	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	
10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	
11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	10	
12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	10	11	
13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	10	11	12	
14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	10	11	12	13	
15	16	17	18	19	1	2	3	4	5	6	7	8	9	10	11	12	13	14	
16	17	18	19	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	18	19	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
18	19	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	
19	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	
1	3	5	7	9	11	13	15	17	19	2	4	6	8	10	12	14	16	18	
2	4	6	8	10	12	14	16	18	1	3	5	7	9	11	13	15	17	19	
3	5	7	9	11	13	15	17	19	2	4	6	8	10	12	14	16	18	1	
4	6	8	10	12	14	16	18	1	3	5	7	9	11	13	15	17	19	2	
5	7	9	11	13	15	17	19	2	4	6	8	10	12	14	16	18	1	3	
6	8	10	12	14	16	18	1	3	5	7	9	11	13	15	17	19	2	4	
7	9	11	13	15	17	19	2	4	6	8	10	12	14	16	18	1	3	5	
8	10	12	14	16	18	1	3	5	7	9	11	13	15	17	19	2	4	6	
9	11	13	15	17	19	2	4	6	8	10	12	14	16	18	1	3	5	7	
10	12	14	16	18	1	3	5	7	9	11	13	15	17	19	2	4	6	8	
11	13	15	17	19	2	4	6	8	10	12	14	16	18	1	3	5	7	9	
12	14	16	18	1	3	5	7	9	11	13	15	17	19	2	4	6	8	10	
13	15	17	19	2	4	6	8	10	12	14	16	18	1	3	5	7	9	11	
14	16	18	1	3	5	7	9	11	13	15	17	19	2	4	6	8	10	12	
15	17	19	2	4	6	8	10	12	14	16	18	1	3	5	7	9	11	13	
16	18	1	3	5	7	9	11	13	15	17	19	2	4	6	8	10	12	14	
17	19	2	4	6	8	10	12	14	16	18	1	3	5	7	9	11	13	15	
18	1	3	5	7	9	11	13	15	17	19	2	4	6	8	10	12	14	16	
19	2	4	6	8	10	12	14	16	18	1	3	5	7	9	11	13	15	17	
1	4	7	10	13	16	19	3	6	9	12	15	18	2	5	8	11	14	17	
2	5	8	11	14	17	1	4	7	10	13	16	19	3	6	9	12	15	18	
3	6	9	12	15	18	2	5	8	11	14	17	1	4	7	10	13	16	19	
4	7	10	13	16	19	3	6	9	12	15	18	2	5	8	11	14	17	1	
5	8	11	14	17	1	4	7	10	13	16	19	3	6	9	12	15	18	2	
6	9	12	15	18	2	5	8	11	14	17	1	4	7	10	13	16	19	3	
7	10	13	16	19	3	6	9	12	15	18	2	5	8	11	14	17	1	4	
8	11	14	17	1	4	7	10	13	16	19	3	6	9	12	15	18	2	5	
9	12	15	18	2	5	8	11	14	17	1	4	7	10	13	16	19	3	6	
10	13	16	19	3	6	9	12	15	18	2	5	8	11	14	17	1	4	7	
11	14	17	1	4	7	10	13	16	19	3	6	9	12	15	18	2	5	8	
12	15	18	2	5	8	11	14	17	1	4	7	10	13	16	19	3	6	9	
13	16	19	3	6	9	12	15	18	2	5	8	11	14	17	1	4	7	10	
14	17	1	4	7	10	13	16	19	3	6	9	12	15	18	2	5	8	11	
15	18	2	5	8	11	14	17	1	4	7	10	13	16	19	3	6	9	12	
16	19	3	6	9	12	15	18	2	5	8	11	14	17	1	4	7	10	13	
