1	2	4	16	8	5	18	10	3	6	19	14	20	15	7	17	1	11	12	
2	3	5	17	9	6	19	11	4	7	20	15	1	16	8	18	2	12	13	
3	4	6	18	10	7	20	12	5	8	1	16	2	17	9	19	3	13	14	
4	5	7	19	11	8	1	13	6	9	2	17	3	18	10	20	4	14	15	
5	6	8	20	12	9	2	14	7	10	3	18	4	19	11	1	5	15	16	
6	7	9	1	13	10	3	15	8	11	4	19	5	20	12	2	6	16	17	
7	8	10	2	14	11	4	16	9	12	5	20	6	1	13	3	7	17	18	
8	9	11	3	15	12	5	17	10	13	6	1	7	2	14	4	8	18	19	
9	10	12	4	16	13	6	18	11	14	7	2	8	3	15	5	9	19	20	
10	11	13	5	17	14	7	19	12	15	8	3	9	4	16	6	10	20	1	
11	12	14	6	18	15	8	20	13	16	9	4	10	5	17	7	11	1	2	
12	13	15	7	19	16	9	1	14	17	10	5	11	6	18	8	12	2	3	
13	14	16	8	20	17	10	2	15	18	11	6	12	7	19	9	13	3	4	
14	15	17	9	1	18	11	3	16	19	12	7	13	8	20	10	14	4	5	
15	16	18	10	2	19	12	4	17	20	13	8	14	9	1	11	15	5	6	
16	17	19	11	3	20	13	5	18	1	14	9	15	10	2	12	16	6	7	
17	18	20	12	4	1	14	6	19	2	15	10	16	11	3	13	17	7	8	
18	19	1	13	5	2	15	7	20	3	16	11	17	12	4	14	18	8	9	
19	20	2	14	6	3	16	8	1	4	17	12	18	13	5	15	19	9	10	
20	1	3	15	7	4	17	9	2	5	18	13	19	14	6	16	20	10	11	
1	3	7	20	13	11	5	19	14	18	12	8	16	17	4	15	9	6	2	
2	4	8	1	14	12	6	20	15	19	13	9	17	18	5	16	10	7	3	
3	5	9	2	15	13	7	1	16	20	14	10	18	19	6	17	11	8	4	
4	6	10	3	16	14	8	2	17	1	15	11	19	20	7	18	12	9	5	
5	7	11	4	17	15	9	3	18	2	16	12	20	1	8	19	13	10	6	
6	8	12	5	18	16	10	4	19	3	17	13	1	2	9	20	14	11	7	
7	9	13	6	19	17	11	5	20	4	18	14	2	3	10	1	15	12	8	
8	10	14	7	20	18	12	6	1	5	19	15	3	4	11	2	16	13	9	
9	11	15	8	1	19	13	7	2	6	20	16	4	5	12	3	17	14	10	
10	12	16	9	2	20	14	8	3	7	1	17	5	6	13	4	18	15	11	
11	13	17	10	3	1	15	9	4	8	2	18	6	7	14	5	19	16	12	
12	14	18	11	4	2	16	10	5	9	3	19	7	8	15	6	20	17	13	
13	15	19	12	5	3	17	11	6	10	4	20	8	9	16	7	1	18	14	
14	16	20	13	6	4	18	12	7	11	5	1	9	10	17	8	2	19	15	
15	17	1	14	7	5	19	13	8	12	6	2	10	11	18	9	3	20	16	
16	18	2	15	8	6	20	14	9	13	7	3	11	12	19	10	4	1	17	
17	19	3	16	9	7	1	15	10	14	8	4	12	13	20	11	5	2	18	
18	20	4	17	10	8	2	16	11	15	9	5	13	14	1	12	6	3	19	
19	1	5	18	11	9	3	17	12	16	10	6	14	15	2	13	7	4	20	
20	2	6	19	12	10	4	18	13	17	11	7	15	16	3	14	8	5	1	
1	4	9	3	11	15	12	8	20	10	5	2	13	16	19	6	17	2	7	
2	5	10	4	12	16	13	9	1	11	6	3	14	17	20	7	18	3	8	
3	6	11	5	13	17	14	10	2	12	7	4	15	18	1	8	19	4	9	
4	7	12	6	14	18	15	11	3	13	8	5	16	19	2	9	20	5	10	
5	8	13	7	15	19	16	12	4	14	9	6	17	20	3	10	1	6	11	
6	9	14	8	16	20	17	13	5	15	10	7	18	1	4	11	2	7	12	
7	10	15	9	17	1	18	14	6	16	11	8	19	2	5	12	3	8	13	
8	11	16	10	18	2	19	15	7	17	12	9	20	3	6	13	4	9	14	
9	12	17	11	19	3	20	16	8	18	13	10	1	4	7	14	5	10	15	
10	13	18	12	20	4	1	17	9	19	14	11	2	5	8	15	6	11	16	
11	14	19	13	1	5	2	18	10	20	15	12	3	6	9	16	7	12	17	
12	15	20	14	2	6	3	19	11	1	16	13	4	7	10	17	8	13	18	
13	16	1	15	3	7	4	20	12	2	17	14	5	8	11	18	9	14	19	
14	17	2	16	4	8	5	1	13	3	18	15	6	9	12	19	10	15	20	
15	18	3	17	5	9	6	2	14	4	19	16	7	10	13	20	11	16	1	
16	19	4	18	6	10	7	3	15	5	20	17	8	11	14	1	12	17	2	
17	20	5	19	7	11	8	4	16	6	1	18	9	12	15	2	13	18	3	
18	1	6	20	8	12	9	5	17	7	2	19	10	13	16	3	14	19	4	
19	2	7	1	9	13	10	6	18	8	3	20	11	14	17	4	15	20	5	
20	3	8	2	10	14	11	7	19	9	4	1	12	15	18	5	16	1	6	
1	5	14	12	3	2	6	16	10	7	11	13	9	20	18	19	15	4	10	
2	6	15	13	4	3	7	17	11	8	12	14	10	1	19	20	16	5	11	
3	7	16	14	5	4	8	18	12	9	13	15	11	2	20	1	17	6	12	
4	8	17	15	6	5	9	19	13	10	14	16	12	3	1	2	18	7	13	
5	9	18	16	7	6	10	20	14	11	15	17	13	4	2	3	19	8	14	
6	10	19	17	8	7	11	1	15	12	16	18	14	5	3	4	20	9	15	
7	11	20	18	9	8	12	2	16	13	17	19	15	6	4	5	1	10	16	
8	12	1	19	10	9	13	3	17	14	18	20	16	7	5	6	2	11	17	
9	13	2	20	11	10	14	4	18	15	19	1	17	8	6	7	3	12	18	
10	14	3	1	12	11	15	5	19	16	20	2	18	9	7	8	4	13	19	
11	15	4	2	13	12	16	6	20	17	1	3	19	10	8	9	5	14	20	
