1	2	5	9	10	12	20	13	14	15	24	21	16	18	11	19	6	7	21	3	22	17	24	
2	3	6	10	11	13	21	14	15	16	1	22	17	19	12	20	7	8	22	4	23	18	1	
3	4	7	11	12	14	22	15	16	17	2	23	18	20	13	21	8	9	23	5	24	19	2	
4	5	8	12	13	15	23	16	17	18	3	24	19	21	14	22	9	10	24	6	1	20	3	
5	6	9	13	14	16	24	17	18	19	4	1	20	22	15	23	10	11	1	7	2	21	4	
6	7	10	14	15	17	1	18	19	20	5	2	21	23	16	24	11	12	2	8	3	22	5	
7	8	11	15	16	18	2	19	20	21	6	3	22	24	17	1	12	13	3	9	4	23	6	
8	9	12	16	17	19	3	20	21	22	7	4	23	1	18	2	13	14	4	10	5	24	7	
9	10	13	17	18	20	4	21	22	23	8	5	24	2	19	3	14	15	5	11	6	1	8	
10	11	14	18	19	21	5	22	23	24	9	6	1	3	20	4	15	16	6	12	7	2	9	
11	12	15	19	20	22	6	23	24	1	10	7	2	4	21	5	16	17	7	13	8	3	10	
12	13	16	20	21	23	7	24	1	2	11	8	3	5	22	6	17	18	8	14	9	4	11	
13	14	17	21	22	24	8	1	2	3	12	9	4	6	23	7	18	19	9	15	10	5	12	
14	15	18	22	23	1	9	2	3	4	13	10	5	7	24	8	19	20	10	16	11	6	13	
15	16	19	23	24	2	10	3	4	5	14	11	6	8	1	9	20	21	11	17	12	7	14	
16	17	20	24	1	3	11	4	5	6	15	12	7	9	2	10	21	22	12	18	13	8	15	
17	18	21	1	2	4	12	5	6	7	16	13	8	10	3	11	22	23	13	19	14	9	16	
18	19	22	2	3	5	13	6	7	8	17	14	9	11	4	12	23	24	14	20	15	10	17	
19	20	23	3	4	6	14	7	8	9	18	15	10	12	5	13	24	1	15	21	16	11	18	
20	21	24	4	5	7	15	8	9	10	19	16	11	13	6	14	1	2	16	22	17	12	19	
21	22	1	5	6	8	16	9	10	11	20	17	12	14	7	15	2	3	17	23	18	13	20	
22	23	2	6	7	9	17	10	11	12	21	18	13	15	8	16	3	4	18	24	19	14	21	
23	24	3	7	8	10	18	11	12	13	22	19	14	16	9	17	4	5	19	1	20	15	22	
24	1	4	8	9	11	19	12	13	14	23	20	15	17	10	18	5	6	20	2	21	16	23	
1	3	9	16	18	21	6	24	2	4	14	12	10	15	7	22	11	5	13	20	24	23	19	
2	4	10	17	19	22	7	1	3	5	15	13	11	16	8	23	12	6	14	21	1	24	20	
3	5	11	18	20	23	8	2	4	6	16	14	12	17	9	24	13	7	15	22	2	1	21	
4	6	12	19	21	24	9	3	5	7	17	15	13	18	10	1	14	8	16	23	3	2	22	
5	7	13	20	22	1	10	4	6	8	18	16	14	19	11	2	15	9	17	24	4	3	23	
6	8	14	21	23	2	11	5	7	9	19	17	15	20	12	3	16	10	18	1	5	4	24	
7	9	15	22	24	3	12	6	8	10	20	18	16	21	13	4	17	11	19	2	6	5	1	
8	10	16	23	1	4	13	7	9	11	21	19	17	22	14	5	18	12	20	3	7	6	2	
9	11	17	24	2	5	14	8	10	12	22	20	18	23	15	6	19	13	21	4	8	7	3	
10	12	18	1	3	6	15	9	11	13	23	21	19	24	16	7	20	14	22	5	9	8	4	
11	13	19	2	4	7	16	10	12	14	24	22	20	1	17	8	21	15	23	6	10	9	5	
12	14	20	3	5	8	17	11	13	15	1	23	21	2	18	9	22	16	24	7	11	10	6	
13	15	21	4	6	9	18	12	14	16	2	24	22	3	19	10	23	17	1	8	12	11	7	
14	16	22	5	7	10	19	13	15	17	3	1	23	4	20	11	24	18	2	9	13	12	8	
15	17	23	6	8	11	20	14	16	18	4	2	24	5	21	12	1	19	3	10	14	13	9	
16	18	24	7	9	12	21	15	17	19	5	3	1	6	22	13	2	20	4	11	15	14	10	
17	19	1	8	10	13	22	16	18	20	6	4	2	7	23	14	3	21	5	12	16	15	11	
18	20	2	9	11	14	23	17	19	21	7	5	3	8	24	15	4	22	6	13	17	16	12	
19	21	3	10	12	15	24	18	20	22	8	6	4	9	1	16	5	23	7	14	18	17	13	
20	22	4	11	13	16	1	19	21	23	9	7	5	10	2	17	6	24	8	15	19	18	14	
21	23	5	12	14	17	2	20	22	24	10	8	6	11	3	18	7	1	9	16	20	19	15	
22	24	6	13	15	18	3	21	23	1	11	9	7	12	4	19	8	2	10	17	21	20	16	
23	1	7	14	16	19	4	22	24	2	12	10	8	13	5	20	9	3	11	18	22	21	17	
24	2	8	15	17	20	5	23	1	3	13	11	9	14	6	21	10	4	12	19	23	22	18	
1	4	12	13	2	6	16	11	7	10	21	3	5	8	20	24	9	19	5	14	23	3	15	
2	5	13	14	3	7	17	12	8	11	22	4	6	9	21	1	10	20	6	15	24	4	16	
3	6	14	15	4	8	18	13	9	12	23	5	7	10	22	2	11	21	7	16	1	5	17	
