1	2	5	7	10	11	12	16	20	21	15	26	25	17	8	24	23	3	6	16	18	10	4	1	14	
2	3	6	8	11	12	13	17	21	22	16	1	26	18	9	25	24	4	7	17	19	11	5	2	15	
3	4	7	9	12	13	14	18	22	23	17	2	1	19	10	26	25	5	8	18	20	12	6	3	16	
4	5	8	10	13	14	15	19	23	24	18	3	2	20	11	1	26	6	9	19	21	13	7	4	17	
5	6	9	11	14	15	16	20	24	25	19	4	3	21	12	2	1	7	10	20	22	14	8	5	18	
6	7	10	12	15	16	17	21	25	26	20	5	4	22	13	3	2	8	11	21	23	15	9	6	19	
7	8	11	13	16	17	18	22	26	1	21	6	5	23	14	4	3	9	12	22	24	16	10	7	20	
8	9	12	14	17	18	19	23	1	2	22	7	6	24	15	5	4	10	13	23	25	17	11	8	21	
9	10	13	15	18	19	20	24	2	3	23	8	7	25	16	6	5	11	14	24	26	18	12	9	22	
10	11	14	16	19	20	21	25	3	4	24	9	8	26	17	7	6	12	15	25	1	19	13	10	23	
11	12	15	17	20	21	22	26	4	5	25	10	9	1	18	8	7	13	16	26	2	20	14	11	24	
12	13	16	18	21	22	23	1	5	6	26	11	10	2	19	9	8	14	17	1	3	21	15	12	25	
13	14	17	19	22	23	24	2	6	7	1	12	11	3	20	10	9	15	18	2	4	22	16	13	26	
14	15	18	20	23	24	25	3	7	8	2	13	12	4	21	11	10	16	19	3	5	23	17	14	1	
15	16	19	21	24	25	26	4	8	9	3	14	13	5	22	12	11	17	20	4	6	24	18	15	2	
16	17	20	22	25	26	1	5	9	10	4	15	14	6	23	13	12	18	21	5	7	25	19	16	3	
17	18	21	23	26	1	2	6	10	11	5	16	15	7	24	14	13	19	22	6	8	26	20	17	4	
18	19	22	24	1	2	3	7	11	12	6	17	16	8	25	15	14	20	23	7	9	1	21	18	5	
19	20	23	25	2	3	4	8	12	13	7	18	17	9	26	16	15	21	24	8	10	2	22	19	6	
20	21	24	26	3	4	5	9	13	14	8	19	18	10	1	17	16	22	25	9	11	3	23	20	7	
21	22	25	1	4	5	6	10	14	15	9	20	19	11	2	18	17	23	26	10	12	4	24	21	8	
22	23	26	2	5	6	7	11	15	16	10	21	20	12	3	19	18	24	1	11	13	5	25	22	9	
23	24	1	3	6	7	8	12	16	17	11	22	21	13	4	20	19	25	2	12	14	6	26	23	10	
24	25	2	4	7	8	9	13	17	18	12	23	22	14	5	21	20	26	3	13	15	7	1	24	11	
25	26	3	5	8	9	10	14	18	19	13	24	23	15	6	22	21	1	4	14	16	8	2	25	12	
26	1	4	6	9	10	11	15	19	20	14	25	24	16	7	23	22	2	5	15	17	9	3	26	13	
1	3	9	13	19	21	23	2	8	10	6	18	20	24	4	26	5	16	25	14	12	15	7	17	11	
2	4	10	14	20	22	24	3	9	11	7	19	21	25	5	1	6	17	26	15	13	16	8	18	12	
3	5	11	15	21	23	25	4	10	12	8	20	22	26	6	2	7	18	1	16	14	17	9	19	13	
4	6	12	16	22	24	26	5	11	13	9	21	23	1	7	3	8	19	2	17	15	18	10	20	14	
5	7	13	17	23	25	1	6	12	14	10	22	24	2	8	4	9	20	3	18	16	19	11	21	15	
6	8	14	18	24	26	2	7	13	15	11	23	25	3	9	5	10	21	4	19	17	20	12	22	16	
