1	2	5	7	12	13	17	20	23	18	25	22	27	10	16	8	24	19	6	9	24	22	4	15	21	13	26	
2	3	6	8	13	14	18	21	24	19	26	23	1	11	17	9	25	20	7	10	25	23	5	16	22	14	27	
3	4	7	9	14	15	19	22	25	20	27	24	2	12	18	10	26	21	8	11	26	24	6	17	23	15	1	
4	5	8	10	15	16	20	23	26	21	1	25	3	13	19	11	27	22	9	12	27	25	7	18	24	16	2	
5	6	9	11	16	17	21	24	27	22	2	26	4	14	20	12	1	23	10	13	1	26	8	19	25	17	3	
6	7	10	12	17	18	22	25	1	23	3	27	5	15	21	13	2	24	11	14	2	27	9	20	26	18	4	
7	8	11	13	18	19	23	26	2	24	4	1	6	16	22	14	3	25	12	15	3	1	10	21	27	19	5	
8	9	12	14	19	20	24	27	3	25	5	2	7	17	23	15	4	26	13	16	4	2	11	22	1	20	6	
9	10	13	15	20	21	25	1	4	26	6	3	8	18	24	16	5	27	14	17	5	3	12	23	2	21	7	
10	11	14	16	21	22	26	2	5	27	7	4	9	19	25	17	6	1	15	18	6	4	13	24	3	22	8	
11	12	15	17	22	23	27	3	6	1	8	5	10	20	26	18	7	2	16	19	7	5	14	25	4	23	9	
12	13	16	18	23	24	1	4	7	2	9	6	11	21	27	19	8	3	17	20	8	6	15	26	5	24	10	
13	14	17	19	24	25	2	5	8	3	10	7	12	22	1	20	9	4	18	21	9	7	16	27	6	25	11	
14	15	18	20	25	26	3	6	9	4	11	8	13	23	2	21	10	5	19	22	10	8	17	1	7	26	12	
15	16	19	21	26	27	4	7	10	5	12	9	14	24	3	22	11	6	20	23	11	9	18	2	8	27	13	
16	17	20	22	27	1	5	8	11	6	13	10	15	25	4	23	12	7	21	24	12	10	19	3	9	1	14	
17	18	21	23	1	2	6	9	12	7	14	11	16	26	5	24	13	8	22	25	13	11	20	4	10	2	15	
18	19	22	24	2	3	7	10	13	8	15	12	17	27	6	25	14	9	23	26	14	12	21	5	11	3	16	
19	20	23	25	3	4	8	11	14	9	16	13	18	1	7	26	15	10	24	27	15	13	22	6	12	4	17	
20	21	24	26	4	5	9	12	15	10	17	14	19	2	8	27	16	11	25	1	16	14	23	7	13	5	18	
21	22	25	27	5	6	10	13	16	11	18	15	20	3	9	1	17	12	26	2	17	15	24	8	14	6	19	
22	23	26	1	6	7	11	14	17	12	19	16	21	4	10	2	18	13	27	3	18	16	25	9	15	7	20	
23	24	27	2	7	8	12	15	18	13	20	17	22	5	11	3	19	14	1	4	19	17	26	10	16	8	21	
24	25	1	3	8	9	13	16	19	14	21	18	23	6	12	4	20	15	2	5	20	18	27	11	17	9	22	
25	26	2	4	9	10	14	17	20	15	22	19	24	7	13	5	21	16	3	6	21	19	1	12	18	10	23	
26	27	3	5	10	11	15	18	21	16	23	20	25	8	14	6	22	17	4	7	22	20	2	13	19	11	24	
27	1	4	6	11	12	16	19	22	17	24	21	26	9	15	7	23	18	5	8	23	21	3	14	20	12	25	
1	3	9	13	23	25	4	8	16	12	22	20	26	18	6	17	15	21	11	4	27	2	14	1	10	5	22	
2	4	10	14	24	26	5	9	17	13	23	21	27	19	7	18	16	22	12	5	1	3	15	2	11	6	23	
3	5	11	15	25	27	6	10	18	14	24	22	1	20	8	19	17	23	13	6	2	4	16	3	12	7	24	
4	6	12	16	26	1	7	11	19	15	25	23	2	21	9	20	18	24	14	7	3	5	17	4	13	8	25	
5	7	13	17	27	2	8	12	20	16	26	24	3	22	10	21	19	25	15	8	4	6	18	5	14	9	26	
6	8	14	18	1	3	9	13	21	17	27	25	4	23	11	22	20	26	16	9	5	7	19	6	15	10	27	
7	9	15	19	2	4	10	14	22	18	1	26	5	24	12	23	21	27	17	10	6	8	20	7	16	11	1	
8	10	16	20	3	5	11	15	23	19	2	27	6	25	13	24	22	1	18	11	7	9	21	8	17	12	2	
9	11	17	21	4	6	12	16	24	20	3	1	7	26	14	25	23	2	19	12	8	10	22	9	18	13	3	
10	12	18	22	5	7	13	17	25	21	4	2	8	27	15	26	24	3	20	13	9	11	23	10	19	14	4	
11	13	19	23	6	8	14	18	26	22	5	3	9	1	16	27	25	4	21	14	10	12	24	11	20	15	5	
12	14	20	24	7	9	15	19	27	23	6	4	10	2	17	1	26	5	22	15	11	13	25	12	21	16	6	
13	15	21	25	8	10	16	20	1	24	7	5	11	3	18	2	27	6	23	16	12	14	26	13	22	17	7	
14	16	22	26	9	11	17	21	2	25	8	6	12	4	19	3	1	7	24	17	13	15	27	14	23	18	8	
15	17	23	27	10	12	18	22	3	26	9	7	13	5	20	4	2	8	25	18	14	16	1	15	24	19	9	
16	18	24	1	11	13	19	23	4	27	10	8	14	6	21	5	3	9	26	19	15	17	2	16	25	20	10	
17	19	25	2	12	14	20	24	5	1	11	9	15	7	22	6	4	10	27	20	16	18	3	17	26	21	11	
18	20	26	3	13	15	21	25	6	2	12	10	16	8	23	7	5	11	1	21	17	19	4	18	27	22	12	
19	21	27	4	14	16	22	26	7	3	13	11	17	9	24	8	6	12	2	22	18	20	5	19	1	23	13	
20	22	1	5	15	17	23	27	8	4	14	12	18	10	25	9	7	13	3	23	19	21	6	20	2	24	14	
21	23	2	6	16	18	24	1	9	5	15	13	19	11	26	10	8	14	4	24	20	22	7	21	3	25	15	
22	24	3	7	17	19	25	2	10	6	16	14	20	12	27	11	9	15	5	25	21	23	8	22	4	26	16	
23	25	4	8	18	20	26	3	11	7	17	15	21	13	1	12	10	16	6	26	22	24	9	23	5	27	17	
24	26	5	9	19	21	27	4	12	8	18	16	22	14	2	13	11	17	7	27	23	25	10	24	6	1	18	
25	27	6	10	20	22	1	5	13	9	19	17	23	15	3	14	12	18	8	1	24	26	11	25	7	2	19	
26	1	7	11	21	23	2	6	14	10	20	18	24	16	4	15	13	19	9	2	25	27	12	26	8	3	20	
27	2	8	12	22	24	3	7	15	11	21	19	25	17	5	16	14	20	10	3	26	1	13	27	9	4	21	
1	4	12	17	6	10	15	16	11	27	18	7	19	23	22	26	5	20	9	25	2	26	21	14	16	24	13	
2	5	13	18	7	11	16	17	12	1	19	8	20	24	23	27	6	21	10	26	3	27	22	15	17	25	14	
3	6	14	19	8	12	17	18	13	2	20	9	21	25	24	1	7	22	11	27	4	1	23	16	18	26	15	
4	7	15	20	9	13	18	19	14	3	21	10	22	26	25	2	8	23	12	1	5	2	24	17	19	27	16	
