1	2	5	7	9	10	11	13	14	17	26	18	19	21	24	29	30	8	15	20	22	3	4	13	1	10	28	23	7	
2	3	6	8	10	11	12	14	15	18	27	19	20	22	25	30	1	9	16	21	23	4	5	14	2	11	29	24	8	
3	4	7	9	11	12	13	15	16	19	28	20	21	23	26	1	2	10	17	22	24	5	6	15	3	12	30	25	9	
4	5	8	10	12	13	14	16	17	20	29	21	22	24	27	2	3	11	18	23	25	6	7	16	4	13	1	26	10	
5	6	9	11	13	14	15	17	18	21	30	22	23	25	28	3	4	12	19	24	26	7	8	17	5	14	2	27	11	
6	7	10	12	14	15	16	18	19	22	1	23	24	26	29	4	5	13	20	25	27	8	9	18	6	15	3	28	12	
7	8	11	13	15	16	17	19	20	23	2	24	25	27	30	5	6	14	21	26	28	9	10	19	7	16	4	29	13	
8	9	12	14	16	17	18	20	21	24	3	25	26	28	1	6	7	15	22	27	29	10	11	20	8	17	5	30	14	
9	10	13	15	17	18	19	21	22	25	4	26	27	29	2	7	8	16	23	28	30	11	12	21	9	18	6	1	15	
10	11	14	16	18	19	20	22	23	26	5	27	28	30	3	8	9	17	24	29	1	12	13	22	10	19	7	2	16	
11	12	15	17	19	20	21	23	24	27	6	28	29	1	4	9	10	18	25	30	2	13	14	23	11	20	8	3	17	
12	13	16	18	20	21	22	24	25	28	7	29	30	2	5	10	11	19	26	1	3	14	15	24	12	21	9	4	18	
13	14	17	19	21	22	23	25	26	29	8	30	1	3	6	11	12	20	27	2	4	15	16	25	13	22	10	5	19	
14	15	18	20	22	23	24	26	27	30	9	1	2	4	7	12	13	21	28	3	5	16	17	26	14	23	11	6	20	
15	16	19	21	23	24	25	27	28	1	10	2	3	5	8	13	14	22	29	4	6	17	18	27	15	24	12	7	21	
16	17	20	22	24	25	26	28	29	2	11	3	4	6	9	14	15	23	30	5	7	18	19	28	16	25	13	8	22	
17	18	21	23	25	26	27	29	30	3	12	4	5	7	10	15	16	24	1	6	8	19	20	29	17	26	14	9	23	
18	19	22	24	26	27	28	30	1	4	13	5	6	8	11	16	17	25	2	7	9	20	21	30	18	27	15	10	24	
19	20	23	25	27	28	29	1	2	5	14	6	7	9	12	17	18	26	3	8	10	21	22	1	19	28	16	11	25	
20	21	24	26	28	29	30	2	3	6	15	7	8	10	13	18	19	27	4	9	11	22	23	2	20	29	17	12	26	
21	22	25	27	29	30	1	3	4	7	16	8	9	11	14	19	20	28	5	10	12	23	24	3	21	30	18	13	27	
22	23	26	28	30	1	2	4	5	8	17	9	10	12	15	20	21	29	6	11	13	24	25	4	22	1	19	14	28	
23	24	27	29	1	2	3	5	6	9	18	10	11	13	16	21	22	30	7	12	14	25	26	5	23	2	20	15	29	
24	25	28	30	2	3	4	6	7	10	19	11	12	14	17	22	23	1	8	13	15	26	27	6	24	3	21	16	30	
25	26	29	1	3	4	5	7	8	11	20	12	13	15	18	23	24	2	9	14	16	27	28	7	25	4	22	17	1	
26	27	30	2	4	5	6	8	9	12	21	13	14	16	19	24	25	3	10	15	17	28	29	8	26	5	23	18	2	
27	28	1	3	5	6	7	9	10	13	22	14	15	17	20	25	26	4	11	16	18	29	30	9	27	6	24	19	3	
